For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.3523,0.8687,0.5621,1.1282,0.5730,0.3770,0.3840,0.1000,(4.6727),,,0.0234,0.4377,,0.3524,5.4862
True,70,5.3523,0.8687,0.5621,1.1282,0.5730,0.2693,0.3840,0.0714,(3.2232),,,0.0299,0.5961,,0.3524,6.9643
True,100,5.3523,0.8687,0.5621,1.1282,0.5730,0.1885,0.3840,0.0500,(1.8214),,,0.0364,0.7528,,0.3524,8.4271
False,200,5.3523,0.8687,0.5621,1.1282,0.5730,0.0943,0.3840,0.0250,,0.1089,0.0002,0.0455,0.9713,,0.3524,10.4658
False,300,5.3523,0.8687,0.5621,1.4855,0.5730,0.0628,0.3840,0.0167,,0.1089,0.0002,0.0471,1.0096,,0.3524,10.8232
False,400,5.3523,0.8687,0.5621,1.8227,0.5730,0.0471,0.3840,0.0125,,0.1089,0.0002,0.0487,1.0478,,0.3524,11.1804
False,500,5.3523,0.8687,0.5621,2.4100,0.5730,0.0377,0.3840,0.0100,,0.1089,0.0002,0.0515,1.1172,,0.3524,11.8281
False,600,5.3523,0.8687,0.5621,2.4100,0.5730,0.0314,0.3840,0.0083,,0.1089,0.0002,0.0515,1.1163,,0.3524,11.8191
False,700,5.3523,0.8687,0.5621,2.4100,0.5730,0.0269,0.3840,0.0071,,0.1089,0.0002,0.0515,1.1156,0.0071,0.3524,11.8199
False,800,5.3523,0.8687,0.5621,2.4100,0.5730,0.0236,0.3840,0.0063,,0.1089,0.0002,0.0514,1.1151,0.0188,0.3524,11.8267
False,900,5.3523,0.8687,0.5621,2.4100,0.5730,0.0209,0.3840,0.0056,,0.1089,0.0002,0.0514,1.1147,0.0278,0.3524,11.8320
False,1000,5.3523,0.8687,0.5621,2.4100,0.5730,0.0189,0.3840,0.0050,,0.1089,0.0002,0.0514,1.1144,0.0350,0.3524,11.8362
False,1500,5.3523,0.8687,0.5621,2.4100,0.5730,0.0126,0.3840,0.0033,,0.1089,0.0002,0.0514,1.1134,0.0900,0.3524,11.8823
False,3000,5.3523,0.8687,0.5621,2.4100,0.5730,0.0063,0.3840,0.0017,,0.1089,0.0002,0.0513,1.1124,0.2200,0.3524,12.0033
False,5000,5.3523,0.8687,0.5621,2.4100,0.5730,0.0038,0.3840,0.0010,,0.1089,0.0002,0.0513,1.1121,0.2720,0.3524,12.0517
