For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,5.0036,0.6962,0.4822,0.9803,0.4979,0.3276,0.3350,0.1000,(4.2116),-,-,0.0060,0.0210,0.4810,-,0.2683,0.0838,5.0713
True,70,5.0036,0.6962,0.4822,0.9803,0.4979,0.2340,0.3350,0.0714,(2.9051),-,-,0.0060,0.0270,0.6237,-,0.2683,0.0838,6.4043
True,100,5.0036,0.6962,0.4822,0.9803,0.4979,0.1638,0.3350,0.0500,(1.6418),-,-,0.0060,0.0329,0.7651,-,0.2683,0.0838,7.7233
False,50,5.0036,0.6962,0.4822,0.9803,0.4979,0.3276,0.3350,0.1000,-,0.0005,0.0001,0.0060,0.0422,0.9890,-,0.2683,0.0838,9.8127
False,70,5.0036,0.6962,0.4822,0.9803,0.4979,0.2340,0.3350,0.0714,-,0.0005,0.0001,0.0060,0.0416,0.9743,-,0.2683,0.0838,9.6752
False,100,5.0036,0.6962,0.4822,0.9803,0.4979,0.1638,0.3350,0.0500,-,0.0005,0.0001,0.0060,0.0411,0.9631,-,0.2683,0.0838,9.5719
False,200,5.0036,0.6962,0.4822,0.9803,0.4979,0.0819,0.3350,0.0250,-,0.0005,0.0001,0.0060,0.0406,0.9502,-,0.2683,0.0838,9.4516
False,300,5.0036,0.6962,0.4822,1.2908,0.4979,0.0546,0.3350,0.0167,-,0.0005,0.0001,0.0060,0.0419,0.9835,-,0.2683,0.0838,9.7611
False,400,5.0036,0.6962,0.4822,1.5837,0.4979,0.0410,0.3350,0.0125,-,0.0005,0.0001,0.0060,0.0433,1.0167,-,0.2683,0.0838,10.0708
False,500,5.0036,0.6962,0.4822,2.0941,0.4979,0.0328,0.3350,0.0100,-,0.0005,0.0001,0.0060,0.0458,1.0769,-,0.2683,0.0838,10.6332
False,600,5.0036,0.6962,0.4822,2.0941,0.4979,0.0273,0.3350,0.0083,-,0.0005,0.0001,0.0060,0.0458,1.0761,-,0.2683,0.0838,10.6252
False,700,5.0036,0.6962,0.4822,2.0941,0.4979,0.0234,0.3350,0.0071,-,0.0005,0.0001,0.0060,0.0457,1.0754,0.0071,0.2683,0.0838,10.6264
False,800,5.0036,0.6962,0.4822,2.0941,0.4979,0.0205,0.3350,0.0063,-,0.0005,0.0001,0.0060,0.0457,1.0750,0.0188,0.2683,0.0838,10.6340
False,900,5.0036,0.6962,0.4822,2.0941,0.4979,0.0182,0.3350,0.0056,-,0.0005,0.0001,0.0060,0.0457,1.0746,0.0278,0.2683,0.0838,10.6396
False,1000,5.0036,0.6962,0.4822,2.0941,0.4979,0.0164,0.3350,0.0050,-,0.0005,0.0001,0.0060,0.0457,1.0743,0.0350,0.2683,0.0838,10.6441
False,1500,5.0036,0.6962,0.4822,2.0941,0.4979,0.0109,0.3350,0.0033,-,0.0005,0.0001,0.0060,0.0456,1.0735,0.0900,0.2683,0.0838,10.6910
False,3000,5.0036,0.6962,0.4822,2.0941,0.4979,0.0055,0.3350,0.0017,-,0.0005,0.0001,0.0060,0.0456,1.0726,0.2200,0.2683,0.0838,10.8131
False,5000,5.0036,0.6962,0.4822,2.0941,0.4979,0.0033,0.3350,0.0010,-,0.0005,0.0001,0.0060,0.0456,1.0723,0.2720,0.2683,0.0838,10.8619
