For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,7.0057,0.5412,0.6306,0.9803,0.4979,0.3276,0.3350,0.1000,(5.2094),-,-,0.0060,0.0260,0.5282,-,0.2683,0.0838,6.1212
True,70,7.0057,0.5412,0.6306,0.9803,0.4979,0.2340,0.3350,0.0714,(3.6036),-,-,0.0060,0.0334,0.7069,-,0.2683,0.0838,7.7909
True,100,7.0057,0.5412,0.6306,0.9803,0.4979,0.1638,0.3350,0.0500,(2.0409),-,-,0.0060,0.0408,0.8841,-,0.2683,0.0838,9.4466
False,50,7.0057,0.5412,0.6306,0.9803,0.4979,0.3276,0.3350,0.1000,-,(0.0200),0.0001,0.0060,0.0520,1.1540,-,0.2683,0.0838,11.9625
False,70,7.0057,0.5412,0.6306,0.9803,0.4979,0.2340,0.3350,0.0714,-,(0.0200),0.0001,0.0060,0.0514,1.1391,-,0.2683,0.0838,11.8248
False,100,7.0057,0.5412,0.6306,0.9803,0.4979,0.1638,0.3350,0.0500,-,(0.0200),0.0001,0.0060,0.0510,1.1279,-,0.2683,0.0838,11.7216
False,200,7.0057,0.5412,0.6306,0.9803,0.4979,0.0819,0.3350,0.0250,-,(0.0200),0.0001,0.0060,0.0504,1.1150,-,0.2683,0.0838,11.6012
False,300,7.0057,0.5412,0.6306,1.2908,0.4979,0.0546,0.3350,0.0167,-,(0.0200),0.0001,0.0060,0.0518,1.1481,-,0.2683,0.0838,11.9106
False,400,7.0057,0.5412,0.6306,1.5837,0.4979,0.0410,0.3350,0.0125,-,(0.0200),0.0001,0.0060,0.0532,1.1814,-,0.2683,0.0838,12.2204
False,500,7.0057,0.5412,0.6306,2.0941,0.4979,0.0328,0.3350,0.0100,-,(0.0200),0.0001,0.0060,0.0557,1.2416,-,0.2683,0.0838,12.7828
False,600,7.0057,0.5412,0.6306,2.0941,0.4979,0.0273,0.3350,0.0083,-,(0.0200),0.0001,0.0060,0.0556,1.2407,-,0.2683,0.0838,12.7746
False,700,7.0057,0.5412,0.6306,2.0941,0.4979,0.0234,0.3350,0.0071,-,(0.0200),0.0001,0.0060,0.0556,1.2401,0.0071,0.2683,0.0838,12.7760
False,800,7.0057,0.5412,0.6306,2.0941,0.4979,0.0205,0.3350,0.0063,-,(0.0200),0.0001,0.0060,0.0556,1.2397,0.0188,0.2683,0.0838,12.7836
False,900,7.0057,0.5412,0.6306,2.0941,0.4979,0.0182,0.3350,0.0056,-,(0.0200),0.0001,0.0060,0.0556,1.2393,0.0278,0.2683,0.0838,12.7892
False,1000,7.0057,0.5412,0.6306,2.0941,0.4979,0.0164,0.3350,0.0050,-,(0.0200),0.0001,0.0060,0.0556,1.2390,0.0350,0.2683,0.0838,12.7937
False,1500,7.0057,0.5412,0.6306,2.0941,0.4979,0.0109,0.3350,0.0033,-,(0.0200),0.0001,0.0060,0.0555,1.2381,0.0900,0.2683,0.0838,12.8405
False,3000,7.0057,0.5412,0.6306,2.0941,0.4979,0.0055,0.3350,0.0017,-,(0.0200),0.0001,0.0060,0.0555,1.2373,0.2200,0.2683,0.0838,12.9627
False,5000,7.0057,0.5412,0.6306,2.0941,0.4979,0.0033,0.3350,0.0010,-,(0.0200),0.0001,0.0060,0.0555,1.2369,0.2720,0.2683,0.0838,13.0114
