For Lifeline Customers,kWh Consumption,Generation Charge,Power Act Reduction,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,6.9554,(0.0028),0.6498,0.6267,0.9803,0.4979,0.3276,0.3350,0.1000,(5.2366),-,-,0.0060,0.0262,0.5484,-,0.2250,0.0838,6.1227
True,70,6.9554,(0.0028),0.6498,0.6267,0.9803,0.4979,0.2340,0.3350,0.0714,(3.6227),-,-,0.0060,0.0337,0.7284,-,0.2250,0.0838,7.8019
True,100,6.9554,(0.0028),0.6498,0.6267,0.9803,0.4979,0.1638,0.3350,0.0500,(2.0518),-,-,0.0060,0.0411,0.9068,-,0.2250,0.0838,9.4670
False,50,6.9554,(0.0028),0.6498,0.6267,0.9803,0.4979,0.3276,0.3350,0.1000,-,(0.0199),0.0001,0.0060,0.0522,1.1776,-,0.2250,0.0838,11.9947
False,70,6.9554,(0.0028),0.6498,0.6267,0.9803,0.4979,0.2340,0.3350,0.0714,-,(0.0199),0.0001,0.0060,0.0517,1.1630,-,0.2250,0.0838,11.8574
False,100,6.9554,(0.0028),0.6498,0.6267,0.9803,0.4979,0.1638,0.3350,0.0500,-,(0.0199),0.0001,0.0060,0.0512,1.1519,-,0.2250,0.0838,11.7542
False,200,6.9554,(0.0028),0.6498,0.6267,0.9803,0.4979,0.0819,0.3350,0.0250,-,(0.0199),0.0001,0.0060,0.0507,1.1390,-,0.2250,0.0838,11.6339
False,300,6.9554,(0.0028),0.6498,0.6267,1.2908,0.4979,0.0546,0.3350,0.0167,-,(0.0199),0.0001,0.0060,0.0521,1.1722,-,0.2250,0.0838,11.9434
False,400,6.9554,(0.0028),0.6498,0.6267,1.5837,0.4979,0.0410,0.3350,0.0125,-,(0.0199),0.0001,0.0060,0.0534,1.2053,-,0.2250,0.0838,12.2529
False,500,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0328,0.3350,0.0100,-,(0.0199),0.0001,0.0060,0.0559,1.2656,-,0.2250,0.0838,12.8154
False,600,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0273,0.3350,0.0083,-,(0.0199),0.0001,0.0060,0.0559,1.2647,-,0.2250,0.0838,12.8073
False,700,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0234,0.3350,0.0071,-,(0.0199),0.0001,0.0060,0.0559,1.2641,0.0071,0.2250,0.0838,12.8087
False,800,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0205,0.3350,0.0063,-,(0.0199),0.0001,0.0060,0.0559,1.2637,0.0188,0.2250,0.0838,12.8163
False,900,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0182,0.3350,0.0056,-,(0.0199),0.0001,0.0060,0.0558,1.2633,0.0278,0.2250,0.0838,12.8218
False,1000,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0164,0.3350,0.0050,-,(0.0199),0.0001,0.0060,0.0558,1.2630,0.0350,0.2250,0.0838,12.8263
False,1500,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0109,0.3350,0.0033,-,(0.0199),0.0001,0.0060,0.0558,1.2622,0.0900,0.2250,0.0838,12.8733
False,3000,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0055,0.3350,0.0017,-,(0.0199),0.0001,0.0060,0.0557,1.2613,0.2200,0.2250,0.0838,12.9953
False,5000,6.9554,(0.0028),0.6498,0.6267,2.0941,0.4979,0.0033,0.3350,0.0010,-,(0.0199),0.0001,0.0060,0.0557,1.2610,0.2720,0.2250,0.0838,13.0441
