For Lifeline Customers,kWh Consumption,Generation Charge,Power Act Reduction,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,6.4948,(0.0015),0.9028,0.6151,0.9803,0.4979,0.3276,0.3350,0.1000,(5.1268),-,-,0.0062,0.0257,0.5531,-,0.2250,0.0838,6.0190
True,70,6.4948,(0.0015),0.9028,0.6151,0.9803,0.4979,0.2340,0.3350,0.0714,(3.5460),-,-,0.0062,0.0330,0.7290,-,0.2250,0.0838,7.6608
True,100,6.4948,(0.0015),0.9028,0.6151,0.9803,0.4979,0.1638,0.3350,0.0500,(2.0079),-,-,0.0062,0.0402,0.9034,-,0.2250,0.0838,9.2889
False,50,6.4948,(0.0015),0.9028,0.6151,0.9803,0.4979,0.3276,0.3350,0.1000,-,0.0006,0.0001,0.0062,0.0513,1.1714,-,0.2250,0.0838,11.7904
False,70,6.4948,(0.0015),0.9028,0.6151,0.9803,0.4979,0.2340,0.3350,0.0714,-,0.0006,0.0001,0.0062,0.0507,1.1567,-,0.2250,0.0838,11.6529
False,100,6.4948,(0.0015),0.9028,0.6151,0.9803,0.4979,0.1638,0.3350,0.0500,-,0.0006,0.0001,0.0062,0.0502,1.1457,-,0.2250,0.0838,11.5498
False,200,6.4948,(0.0015),0.9028,0.6151,0.9803,0.4979,0.0819,0.3350,0.0250,-,0.0006,0.0001,0.0062,0.0497,1.1328,-,0.2250,0.0838,11.4295
False,300,6.4948,(0.0015),0.9028,0.6151,1.2908,0.4979,0.0546,0.3350,0.0167,-,0.0006,0.0001,0.0062,0.0511,1.1659,-,0.2250,0.0838,11.7389
False,400,6.4948,(0.0015),0.9028,0.6151,1.5837,0.4979,0.0410,0.3350,0.0125,-,0.0006,0.0001,0.0062,0.0524,1.1991,-,0.2250,0.0838,12.0485
False,500,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0328,0.3350,0.0100,-,0.0006,0.0001,0.0062,0.0549,1.2594,-,0.2250,0.0838,12.6110
False,600,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0273,0.3350,0.0083,-,0.0006,0.0001,0.0062,0.0549,1.2585,-,0.2250,0.0838,12.6029
False,700,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0234,0.3350,0.0071,-,0.0006,0.0001,0.0062,0.0549,1.2579,0.0071,0.2250,0.0838,12.6043
False,800,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0205,0.3350,0.0063,-,0.0006,0.0001,0.0062,0.0549,1.2574,0.0188,0.2250,0.0838,12.6118
False,900,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0182,0.3350,0.0056,-,0.0006,0.0001,0.0062,0.0548,1.2571,0.0278,0.2250,0.0838,12.6174
False,1000,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0164,0.3350,0.0050,-,0.0006,0.0001,0.0062,0.0548,1.2568,0.0350,0.2250,0.0838,12.6219
False,1500,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0109,0.3350,0.0033,-,0.0006,0.0001,0.0062,0.0548,1.2559,0.0900,0.2250,0.0838,12.6688
False,3000,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0055,0.3350,0.0017,-,0.0006,0.0001,0.0062,0.0548,1.2551,0.2200,0.2250,0.0838,12.7910
False,5000,6.4948,(0.0015),0.9028,0.6151,2.0941,0.4979,0.0033,0.3350,0.0010,-,0.0006,0.0001,0.0062,0.0547,1.2547,0.2720,0.2250,0.0838,12.8396
