For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.3105,-,0.8928,0.5589,1.2225,0.6043,0.3976,0.4066,0.1000,(4.7466),,,0.0237,0.4784,,0.3143,5.5630
True,70,5.3105,-,0.8928,0.5589,1.2225,0.6043,0.2840,0.4066,0.0714,(3.2729),,,0.0304,0.6390,,0.3143,7.0618
True,100,5.3105,-,0.8928,0.5589,1.2225,0.6043,0.1988,0.4066,0.0500,(1.8489),,,0.0370,0.7978,,0.3143,8.5446
False,200,5.3105,-,0.8928,0.5589,1.2225,0.6043,0.0994,0.4066,0.0250,,0.1062,-,0.0461,1.0186,,0.3143,10.6053
False,300,5.3105,-,0.8928,0.5589,1.5798,0.6043,0.0663,0.4066,0.0167,,0.1062,-,0.0477,1.0567,,0.3143,10.9608
False,400,5.3105,-,0.8928,0.5589,1.9170,0.6043,0.0497,0.4066,0.0125,,0.1062,-,0.0493,1.0949,,0.3143,11.3170
False,500,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0398,0.4066,0.0100,,0.1062,-,0.0522,1.1642,,0.3143,11.9640
False,600,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0331,0.4066,0.0083,,0.1062,-,0.0521,1.1632,,0.3143,11.9547
False,700,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0284,0.4066,0.0071,,0.1062,-,0.0521,1.1625,0.0071,0.3143,11.9552
False,800,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0249,0.4066,0.0063,,0.1062,-,0.0521,1.1620,0.0188,0.3143,11.9618
False,900,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0221,0.4066,0.0056,,0.1062,-,0.0521,1.1615,0.0278,0.3143,11.9669
False,1000,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0199,0.4066,0.0050,,0.1062,-,0.0520,1.1612,0.0350,0.3143,11.9710
False,1500,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0133,0.4066,0.0033,,0.1062,-,0.0520,1.1602,0.0900,0.3143,12.0167
False,3000,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0066,0.4066,0.0017,,0.1062,-,0.0520,1.1592,0.2200,0.3143,12.1374
False,5000,5.3105,-,0.8928,0.5589,2.5043,0.6043,0.0040,0.4066,0.0010,,0.1062,-,0.0519,1.1588,0.2720,0.3143,12.1856
