For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,4.9372,0.8029,0.5105,1.1282,0.5730,0.3770,0.3840,0.1000,(4.4064),,,0.0220,0.4024,,0.3524,5.1832
True,70,4.9372,0.8029,0.5105,1.1282,0.5730,0.2693,0.3840,0.0714,(3.0368),,,0.0282,0.5511,,0.3524,6.5715
True,100,4.9372,0.8029,0.5105,1.1282,0.5730,0.1885,0.3840,0.0500,(1.7149),,,0.0343,0.6982,,0.3524,7.9444
False,200,4.9372,0.8029,0.5105,1.1282,0.5730,0.0943,0.3840,0.0250,,0.1109,0.0001,0.0428,0.9040,,0.3524,9.8653
False,300,4.9372,0.8029,0.5105,1.4855,0.5730,0.0628,0.3840,0.0167,,0.1109,0.0001,0.0444,0.9423,,0.3524,10.2228
False,400,4.9372,0.8029,0.5105,1.8227,0.5730,0.0471,0.3840,0.0125,,0.1109,0.0001,0.0460,0.9806,,0.3524,10.5799
False,500,4.9372,0.8029,0.5105,2.4100,0.5730,0.0377,0.3840,0.0100,,0.1109,0.0001,0.0489,1.0500,,0.3524,11.2276
False,600,4.9372,0.8029,0.5105,2.4100,0.5730,0.0314,0.3840,0.0083,,0.1109,0.0001,0.0488,1.0490,,0.3524,11.2186
False,700,4.9372,0.8029,0.5105,2.4100,0.5730,0.0269,0.3840,0.0071,,0.1109,0.0001,0.0488,1.0483,0.0071,0.3524,11.2194
False,800,4.9372,0.8029,0.5105,2.4100,0.5730,0.0236,0.3840,0.0063,,0.1109,0.0001,0.0488,1.0478,0.0188,0.3524,11.2262
False,900,4.9372,0.8029,0.5105,2.4100,0.5730,0.0209,0.3840,0.0056,,0.1109,0.0001,0.0488,1.0474,0.0278,0.3524,11.2315
False,1000,4.9372,0.8029,0.5105,2.4100,0.5730,0.0189,0.3840,0.0050,,0.1109,0.0001,0.0488,1.0471,0.0350,0.3524,11.2357
False,1500,4.9372,0.8029,0.5105,2.4100,0.5730,0.0126,0.3840,0.0033,,0.1109,0.0001,0.0487,1.0462,0.0900,0.3524,11.2818
False,3000,4.9372,0.8029,0.5105,2.4100,0.5730,0.0063,0.3840,0.0017,,0.1109,0.0001,0.0487,1.0452,0.2200,0.3524,11.4028
False,5000,4.9372,0.8029,0.5105,2.4100,0.5730,0.0038,0.3840,0.0010,,0.1109,0.0001,0.0487,1.0448,0.2720,0.3524,11.4513
