For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.1072,0.7855,0.5272,1.1282,0.5730,0.3770,0.3840,0.1000,(4.4911),,,0.0225,0.4046,,0.3524,5.2705
True,70,5.1072,0.7855,0.5272,1.1282,0.5730,0.2693,0.3840,0.0714,(3.0960),,,0.0287,0.5564,,0.3524,6.6873
True,100,5.1072,0.7855,0.5272,1.1282,0.5730,0.1885,0.3840,0.0500,(1.7487),,,0.0350,0.7066,,0.3524,8.0888
False,200,5.1072,0.7855,0.5272,1.1282,0.5730,0.0943,0.3840,0.0250,,0.1176,0.0001,0.0437,0.9173,,0.3524,10.0554
False,300,5.1072,0.7855,0.5272,1.4855,0.5730,0.0628,0.3840,0.0167,,0.1176,0.0001,0.0453,0.9556,,0.3524,10.4129
False,400,5.1072,0.7855,0.5272,1.8227,0.5730,0.0471,0.3840,0.0125,,0.1176,0.0001,0.0469,0.9938,,0.3524,10.7700
False,500,5.1072,0.7855,0.5272,2.4100,0.5730,0.0377,0.3840,0.0100,,0.1176,0.0001,0.0498,1.0632,,0.3524,11.4177
False,600,5.1072,0.7855,0.5272,2.4100,0.5730,0.0314,0.3840,0.0083,,0.1176,0.0001,0.0497,1.0623,,0.3524,11.4087
False,700,5.1072,0.7855,0.5272,2.4100,0.5730,0.0269,0.3840,0.0071,,0.1176,0.0001,0.0497,1.0616,0.0071,0.3524,11.4095
False,800,5.1072,0.7855,0.5272,2.4100,0.5730,0.0236,0.3840,0.0063,,0.1176,0.0001,0.0497,1.0611,0.0188,0.3524,11.4163
False,900,5.1072,0.7855,0.5272,2.4100,0.5730,0.0209,0.3840,0.0056,,0.1176,0.0001,0.0497,1.0607,0.0278,0.3524,11.4216
False,1000,5.1072,0.7855,0.5272,2.4100,0.5730,0.0189,0.3840,0.0050,,0.1176,0.0001,0.0496,1.0603,0.0350,0.3524,11.4258
False,1500,5.1072,0.7855,0.5272,2.4100,0.5730,0.0126,0.3840,0.0033,,0.1176,0.0001,0.0496,1.0594,0.0900,0.3524,11.4719
False,3000,5.1072,0.7855,0.5272,2.4100,0.5730,0.0063,0.3840,0.0017,,0.1176,0.0001,0.0496,1.0584,0.2200,0.3524,11.5929
False,5000,5.1072,0.7855,0.5272,2.4100,0.5730,0.0038,0.3840,0.0010,,0.1176,0.0001,0.0495,1.0580,0.2720,0.3524,11.6414
