For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.1937,0.9225,0.5566,1.1282,0.5730,0.3770,0.3840,0.1000,(4.6175),,,0.0231,0.4362,,0.3524,5.4292
True,70,5.1937,0.9225,0.5566,1.1282,0.5730,0.2693,0.3840,0.0714,(3.1846),,,0.0296,0.5926,,0.3524,6.8887
True,100,5.1937,0.9225,0.5566,1.1282,0.5730,0.1885,0.3840,0.0500,(1.7993),,,0.0360,0.7473,,0.3524,8.3329
False,200,5.1937,0.9225,0.5566,1.1282,0.5730,0.0943,0.3840,0.0250,,0.1222,0.0001,0.0450,0.9647,,0.3524,10.3616
False,300,5.1937,0.9225,0.5566,1.4855,0.5730,0.0628,0.3840,0.0167,,0.1222,0.0001,0.0466,1.0030,,0.3524,10.7191
False,400,5.1937,0.9225,0.5566,1.8227,0.5730,0.0471,0.3840,0.0125,,0.1222,0.0001,0.0482,1.0413,,0.3524,11.0763
False,500,5.1937,0.9225,0.5566,2.4100,0.5730,0.0377,0.3840,0.0100,,0.1222,0.0001,0.0510,1.1106,,0.3524,11.7239
False,600,5.1937,0.9225,0.5566,2.4100,0.5730,0.0314,0.3840,0.0083,,0.1222,0.0001,0.0510,1.1097,,0.3524,11.7149
False,700,5.1937,0.9225,0.5566,2.4100,0.5730,0.0269,0.3840,0.0071,,0.1222,0.0001,0.0510,1.1090,0.0071,0.3524,11.7157
False,800,5.1937,0.9225,0.5566,2.4100,0.5730,0.0236,0.3840,0.0063,,0.1222,0.0001,0.0510,1.1085,0.0188,0.3524,11.7225
False,900,5.1937,0.9225,0.5566,2.4100,0.5730,0.0209,0.3840,0.0056,,0.1222,0.0001,0.0509,1.1081,0.0278,0.3524,11.7278
False,1000,5.1937,0.9225,0.5566,2.4100,0.5730,0.0189,0.3840,0.0050,,0.1222,0.0001,0.0509,1.1078,0.0350,0.3524,11.7320
False,1500,5.1937,0.9225,0.5566,2.4100,0.5730,0.0126,0.3840,0.0033,,0.1222,0.0001,0.0509,1.1068,0.0900,0.3524,11.7781
False,3000,5.1937,0.9225,0.5566,2.4100,0.5730,0.0063,0.3840,0.0017,,0.1222,0.0001,0.0509,1.1059,0.2200,0.3524,11.8992
False,5000,5.1937,0.9225,0.5566,2.4100,0.5730,0.0038,0.3840,0.0010,,0.1222,0.0001,0.0508,1.1055,0.2720,0.3524,11.9476
