For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.9703,0.9339,0.5994,1.2225,0.6043,0.3976,0.4066,0.1000,(5.1173),,,0.0256,0.5144,,0.3143,5.9716
True,70,5.9703,0.9339,0.5994,1.2225,0.6043,0.2840,0.4066,0.0714,(3.5324),,,0.0328,0.6884,,0.3143,7.5955
True,100,5.9703,0.9339,0.5994,1.2225,0.6043,0.1988,0.4066,0.0500,(1.9972),,,0.0399,0.8607,,0.3143,9.2035
False,200,5.9703,0.9339,0.5994,1.2225,0.6043,0.0994,0.4066,0.0250,,0.1184,-,0.0499,1.1008,,0.3143,11.4448
False,300,5.9703,0.9339,0.5994,1.5798,0.6043,0.0663,0.4066,0.0167,,0.1184,-,0.0515,1.1389,,0.3143,11.8003
False,400,5.9703,0.9339,0.5994,1.9170,0.6043,0.0497,0.4066,0.0125,,0.1184,-,0.0531,1.1770,,0.3143,12.1565
False,500,5.9703,0.9339,0.5994,2.5043,0.6043,0.0398,0.4066,0.0100,,0.1184,-,0.0559,1.2464,,0.3143,12.8036
False,600,5.9703,0.9339,0.5994,2.5043,0.6043,0.0331,0.4066,0.0083,,0.1184,-,0.0559,1.2454,,0.3143,12.7942
False,700,5.9703,0.9339,0.5994,2.5043,0.6043,0.0284,0.4066,0.0071,,0.1184,-,0.0559,1.2447,0.0071,0.3143,12.7947
False,800,5.9703,0.9339,0.5994,2.5043,0.6043,0.0249,0.4066,0.0063,,0.1184,-,0.0558,1.2441,0.0188,0.3143,12.8013
False,900,5.9703,0.9339,0.5994,2.5043,0.6043,0.0221,0.4066,0.0056,,0.1184,-,0.0558,1.2437,0.0278,0.3143,12.8064
False,1000,5.9703,0.9339,0.5994,2.5043,0.6043,0.0199,0.4066,0.0050,,0.1184,-,0.0558,1.2434,0.0350,0.3143,12.8106
False,1500,5.9703,0.9339,0.5994,2.5043,0.6043,0.0133,0.4066,0.0033,,0.1184,-,0.0558,1.2424,0.0900,0.3143,12.8562
False,3000,5.9703,0.9339,0.5994,2.5043,0.6043,0.0066,0.4066,0.0017,,0.1184,-,0.0557,1.2414,0.2200,0.3143,12.9769
False,5000,5.9703,0.9339,0.5994,2.5043,0.6043,0.0040,0.4066,0.0010,,0.1184,-,0.0557,1.2410,0.2720,0.3143,13.0252
