For Lifeline Customers,kWh Consumption,Generation Charge,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Local Franchise Tax,VAT,Energy Tax,Universal Charge,Total Bill
True,50,5.4072,0.9774,0.5776,1.1282,0.5730,0.3770,0.3840,0.1000,(4.7622),,,0.0238,0.4740,,0.3143,5.5743
True,70,5.4072,0.9774,0.5776,1.1282,0.5730,0.2693,0.3840,0.0714,(3.2858),,,0.0305,0.6356,,0.3143,7.0827
True,100,5.4072,0.9774,0.5776,1.1282,0.5730,0.1885,0.3840,0.0500,(1.8572),,,0.0371,0.7956,,0.3143,8.5757
False,200,5.4072,0.9774,0.5776,1.1282,0.5730,0.0943,0.3840,0.0250,,0.0890,0.0001,0.0463,1.0159,,0.3143,10.6322
False,300,5.4072,0.9774,0.5776,1.4855,0.5730,0.0628,0.3840,0.0167,,0.0890,0.0001,0.0479,1.0542,,0.3143,10.9897
False,400,5.4072,0.9774,0.5776,1.8227,0.5730,0.0471,0.3840,0.0125,,0.0890,0.0001,0.0495,1.0925,,0.3143,11.3469
False,500,5.4072,0.9774,0.5776,2.4100,0.5730,0.0377,0.3840,0.0100,,0.0890,0.0001,0.0523,1.1619,,0.3143,11.9945
False,600,5.4072,0.9774,0.5776,2.4100,0.5730,0.0314,0.3840,0.0083,,0.0890,0.0001,0.0523,1.1609,,0.3143,11.9855
False,700,5.4072,0.9774,0.5776,2.4100,0.5730,0.0269,0.3840,0.0071,,0.0890,0.0001,0.0523,1.1602,0.0071,0.3143,11.9863
False,800,5.4072,0.9774,0.5776,2.4100,0.5730,0.0236,0.3840,0.0063,,0.0890,0.0001,0.0522,1.1597,0.0188,0.3143,11.9931
False,900,5.4072,0.9774,0.5776,2.4100,0.5730,0.0209,0.3840,0.0056,,0.0890,0.0001,0.0522,1.1593,0.0278,0.3143,11.9984
False,1000,5.4072,0.9774,0.5776,2.4100,0.5730,0.0189,0.3840,0.0050,,0.0890,0.0001,0.0522,1.1590,0.0350,0.3143,12.0026
False,1500,5.4072,0.9774,0.5776,2.4100,0.5730,0.0126,0.3840,0.0033,,0.0890,0.0001,0.0522,1.1580,0.0900,0.3143,12.0487
False,3000,5.4072,0.9774,0.5776,2.4100,0.5730,0.0063,0.3840,0.0017,,0.0890,0.0001,0.0521,1.1571,0.2200,0.3143,12.1698
False,5000,5.4072,0.9774,0.5776,2.4100,0.5730,0.0038,0.3840,0.0010,,0.0890,0.0001,0.0521,1.1567,0.2720,0.3143,12.2182
