For Lifeline Customers,kWh Consumption,Generation Charge,Power Act Reduction,Transmission Charge,System Loss Charge,Distribution Charge,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
True,50,6.7832,(0.0018),0.9752,0.6501,0.9803,0.4979,0.3276,0.3350,0.1000,(5.3247),-,-,0.0062,0.0266,0.5623,-,0.2250,0.0838,6.2267
True,70,6.7832,(0.0018),0.9752,0.6501,0.9803,0.4979,0.2340,0.3350,0.0714,(3.6845),-,-,0.0062,0.0342,0.7445,-,0.2250,0.0838,7.9345
True,100,6.7832,(0.0018),0.9752,0.6501,0.9803,0.4979,0.1638,0.3350,0.0500,(2.0871),-,-,0.0062,0.0418,0.9252,-,0.2250,0.0838,9.6286
False,50,6.7832,(0.0018),0.9752,0.6501,0.9803,0.4979,0.3276,0.3350,0.1000,-,0.0004,0.0001,0.0062,0.0533,1.2013,-,0.2250,0.0838,12.2176
False,70,6.7832,(0.0018),0.9752,0.6501,0.9803,0.4979,0.2340,0.3350,0.0714,-,0.0004,0.0001,0.0062,0.0527,1.1867,-,0.2250,0.0838,12.0802
False,100,6.7832,(0.0018),0.9752,0.6501,0.9803,0.4979,0.1638,0.3350,0.0500,-,0.0004,0.0001,0.0062,0.0522,1.1757,-,0.2250,0.0838,11.9771
False,200,6.7832,(0.0018),0.9752,0.6501,0.9803,0.4979,0.0819,0.3350,0.0250,-,0.0004,0.0001,0.0062,0.0517,1.1629,-,0.2250,0.0838,11.8569
False,300,6.7832,(0.0018),0.9752,0.6501,1.2908,0.4979,0.0546,0.3350,0.0167,-,0.0004,0.0001,0.0062,0.0530,1.1958,-,0.2250,0.0838,12.1660
False,400,6.7832,(0.0018),0.9752,0.6501,1.5837,0.4979,0.0410,0.3350,0.0125,-,0.0004,0.0001,0.0062,0.0544,1.2288,-,0.2250,0.0838,12.4755
False,500,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0328,0.3350,0.0100,-,0.0004,0.0001,0.0062,0.0569,1.2888,-,0.2250,0.0838,13.0377
False,600,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0273,0.3350,0.0083,-,0.0004,0.0001,0.0062,0.0569,1.2880,-,0.2250,0.0838,13.0297
False,700,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0234,0.3350,0.0071,-,0.0004,0.0001,0.0062,0.0569,1.2873,0.0071,0.2250,0.0838,13.0310
False,800,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0205,0.3350,0.0063,-,0.0004,0.0001,0.0062,0.0568,1.2869,0.0188,0.2250,0.0838,13.0385
False,900,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0182,0.3350,0.0056,-,0.0004,0.0001,0.0062,0.0568,1.2865,0.0278,0.2250,0.0838,13.0441
False,1000,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0164,0.3350,0.0050,-,0.0004,0.0001,0.0062,0.0568,1.2862,0.0350,0.2250,0.0838,13.0486
False,1500,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0109,0.3350,0.0033,-,0.0004,0.0001,0.0062,0.0568,1.2854,0.0900,0.2250,0.0838,13.0956
False,3000,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0055,0.3350,0.0017,-,0.0004,0.0001,0.0062,0.0567,1.2845,0.2200,0.2250,0.0838,13.2176
False,5000,6.7832,(0.0018),0.9752,0.6501,2.0941,0.4979,0.0033,0.3350,0.0010,-,0.0004,0.0001,0.0062,0.0567,1.2842,0.2720,0.2250,0.0838,13.2664
